"","country","year","per_capita","m_xpense","gdp_share","r_average","per_capita_growth","m_xpense_growth","gdp_share_growth","r_average_growth"
"1","China",1992,10,12420,0.0248475857240288,NA,NA,NA,NA,NA
"2","China",1993,10,12577,0.0196190727189541,12498.5,0,1.26409017713366,-21.0423381295289,NA
"3","China",1994,8,10051,0.0172496768849044,11314,-20,-20.0842808300867,-12.077002149855,-9.47713725647078
"4","China",1995,10,12606,0.017163366422182,11328.5,25,25.4203561834643,-0.500359880932006,0.128159802015202
"5","China",1996,12,14563,0.0168605113779847,13584.5,20,15.5243534824687,-1.76454336956784,19.9143752482676
"6","China",1997,13,16105,0.0167480208725926,15334,8.33333333333333,10.5884776488361,-0.667183235847566,12.8786484596415
"7","China",1998,14,17528,0.0170330037386999,16816.5,7.69230769230769,8.83576529028252,1.70159130010159,9.66805791052563
"8","China",1999,16,21027,0.0192205312057776,19277.5,14.2857142857143,19.9623459607485,12.8428755176488,14.6344364166146
"9","China",2000,18,22930,0.0189293844238346,21978.5,12.5,9.05026870214486,-1.51476969510323,14.0111528984567
"10","China",2001,22,27875,0.0208118419765944,25402.5,22.2222222222222,21.5656345399041,9.94463164047487,15.5788611597698
"11","China",2002,25,32138,0.0218541270564642,30006.5,13.6363636363636,15.2932735426009,5.0081347006285,18.1242003739789
"12","China",2003,27,35126,0.0211568631548953,33632,8,9.29740494119111,-3.1905365049236,12.0823821505341
"13","China",2004,31,40353,0.0206371059900499,37739.5,14.8148148148148,14.8807151397825,-2.45668349338974,12.2130708848716
"14","China",2005,35,45919,0.0200873488997414,43136,12.9032258064516,13.7932743538275,-2.66392531284963,14.2993415387061
"15","China",2006,42,55337,0.0201072344953433,50628,20,20.5100285284958,0.0989956200850527,17.3683234421365
"16","China",2007,51,68012,0.0191464898903647,61674.5,21.4285714285714,22.9051086976164,-4.77810414555577,21.818953938532
"17","China",2008,64,86362,0.0187815614578948,77187,25.4901960784314,26.9805328471446,-1.90598085894325,25.1522103948958
"18","China",2009,78,105644,0.0206742610749241,96003,21.875,22.3269493527246,10.0774348356091,24.3771619573244
"19","China",2010,85,115712,0.0189671314671103,110678,8.97435897435897,9.53012002574685,-8.25727024355118,15.2859806464381
"20","China",2011,101,137967,0.0182192749816085,126839.5,18.8235294117647,19.2330959623894,-3.94290769164833,14.6022696470843
"21","China",2012,114,157390,0.0183856391040614,147678.5,12.8712871287129,14.0780041604152,0.913121529922657,16.4294245877664
"22","China",2013,130,179880,0.0187233362515339,168635,14.0350877192982,14.2893449393227,1.8367441325328,14.190623550483
"23","China",2014,144,200772,0.0191534127190954,190326,10.7692307692308,11.6144096064043,2.29700765816364,12.8626916120616
"24","China",2015,153,214093,0.0193492242683391,207432.5,6.25,6.63488932719702,1.02233242772711,8.98799953763543
"25","China",2016,154,216031,0.0193060638113578,215062,0.65359477124183,0.905214089204224,-0.223060399645738,3.67806394851337
"26","China",2017,162,228231,0.0190884497782157,222131,5.19480519480519,5.64733765061496,-1.1271797051352,3.28695910946611
"27","UK",1992,709,40775,0.0345634288944761,NA,NA,NA,NA,NA
"28","UK",1993,591,34086,0.0321123472943224,37430.5,-16.6431593794076,-16.4046597179644,-7.09154640772747,NA
"29","UK",1994,597,34494,0.0302457340082341,34290,1.01522842639594,1.19697236402042,-5.81275877773777,-8.39021653464421
"30","UK",1995,591,34248,0.0259389873375358,34371,-1.00502512562814,-0.71316750739259,-14.2391871512385,0.236220472440945
"31","UK",1996,593,34491,0.0247589315712846,34369.5,0.338409475465313,0.709530483531885,-4.54935171869109,-0.00436414419132408
"32","UK",1997,611,35675,0.0232107194401691,35083,3.035413153457,3.4327795656838,-6.2531459673771,2.07596851859934
