"","Country","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Algeria","38.751260074101708","45.954767898967035","47.066488253757583","42.715280322181606","49.383241430113934","58.634346628200056","62.993767629190501","59.368118879254027","60.325300144994216","66.207177285235915","65.653992832928722","68.09124967125878","85.352764163937934","87.862946733038854","91.5976680434146","115.03808695550137","148.37150950691242","148.89257007159196","157.02326033419683","234.99024730287428","248.26505692887258","265.04875793588911","248.62071826856638","261.15663294610613","251.61475189878857","243.80002424362024"
"2","Libya",". .",". .",". .",". .",". .","244.65995774063362","277.85991772636032","218.70524071606931","202.68579791526119","150.67329274209283","81.86565115742836","96.40427242195463","120.08802125979811","119.27636519494136","104.4568708487692","107.05164045143954","181.73706866652807",". .",". .",". .","481.97629200537796","639.88207724319534","605.35029337419348",". .",". .",". ."
"3","Morocco","47.63301237514974","47.709976105220598","51.196143598064495","53.107530186226633","52.698358052919772","50.346959149694577","51.284693117642881","42.347016095136105","29.780338646748941","50.384691913534859","49.974787731764799","60.958112538904622","64.2004547673031","66.548498481948982","69.149339155508812","77.126735017106512","93.204164551693509","95.501071537014738","97.526690501970947","101.72911414408988","102.07962964667912","120.19453309305202","117.97311194052091","93.909523224987282","94.312216811604017","96.85232818582611"
"4","Tunisia","33.670758950126412","31.436614207877923","33.16760683722844","37.623809409876138","42.941650858605705","38.167175654278608","38.512913163053675","37.174405078628361","34.269822826105973","34.29983266455843","35.017520372847557","40.985790591746166","44.387016086410796","46.371236293946353","48.764812863617287","47.644825566272154","55.62532883832953","53.676567573880028","53.683529121526689","66.463020060010138","62.574329502021975","68.941384778476333","81.511556591500863","86.883403885350347","86.618716458310857","72.45284087142393"
"5","Angola","61.2367130240332","132.38086318539453",". .","16.388241167478249","10.879910337397002","30.272453456346476","10.98263674472377","66.871751550013187","35.498085971258327","23.805735598244826","24.964149993050665","36.807536255101695","43.334352226657217","69.814727859448695","97.239676071118765","96.793179336100351","145.38949785467722","146.8407877673647","149.80423689894536","150.27712721809078","165.15022628843687","234.27463838109827","254.15104197373884","129.51833455706671","98.018771549560682","102.83551795356013"
"6","Benin",". .",". .",". .",". .",". .",". .",". .","2.6775017997513189","2.1113280819135345","1.8529080611423412","3.5639538646464448","4.5932842456074985","5.3910266807978173","5.6006977453137514","5.6938935245375655",". .","7.4422474713861897",". .",". .",". .","8.0400662586716827","8.5964894664442433","9.039886232658338","8.5946008350461334","7.3196639801502332","10.392446603480115"
"7","Botswana","122.25718582264024","124.22048064111054","111.20404268983847","105.71321909401512","87.627728868787827","98.011873899997738","108.43815069600481","99.760307697308193","106.87619022421445","119.84608749427144","125.59278746468716","166.82805048208616","171.66880614221699","152.94093769628242","144.85127396530405","160.075826186276","170.78124875198432","166.75098755354088","173.05008139114935","177.11576738561749","156.45039721190437","143.96878825242734","159.68171246919243","173.70106764718523","228.62400310617286","231.79014411796302"
"8","Burkina Faso","7.6493228124085464","6.3362604238815221","3.0824450906965764","3.6534449906586799","3.5807179430201344","3.6143715693259999","3.600668460160096","3.6995729548251086","3.1580567039254808","3.0836533093228762","3.4546574874495684","4.010950179406275","5.0407808290669491","5.5016932851947145","5.252146771530481","7.5650133031955837","7.9647222061017926","8.4097790143658155","7.9268666807942347","8.6339814117679712","8.9148375664743131","9.731098269163251","10.074331092669887","8.1683953387873611","8.015868945414482","9.9547770561907427"
"9","Burundi","6.8866841868691706","6.283989180213184","7.1376958701201767","7.0628178860123807","8.4246047387689025","10.12256903406311","9.4944542814911106","8.0540964339881729","6.612013146014843","8.1195487414906129","6.6616639321682465","6.2437071435396136","6.2475020220773487","6.6758992388399436","5.8261280534422299","5.8326444283130545","5.3403446295347843",". .",". .",". .","6.327091967043116","6.3394084336743273","6.2857475481270804","6.4871882434323593","6.3152892616062131","5.8824776532569754"
"10","Cameroon","14.811641640414393","13.181032147932028","7.2097476549215447","8.4373808284688305","8.4659938960010628","8.3803440816362276","9.4498743443785269","9.7170088418467788","8.0550254666968701","7.9314884741037135","9.0536302527220318","11.4146595430408","13.037730328650236","12.805651128034935","14.353862029263597","16.128983045967001","18.331093193453622","17.664450263397324","17.728874414080156","16.933251291793592","16.812495205672306","18.140276627913185","18.054443032740039","15.494749569637129","16.529489602775524","16.968579344712797"
"11","Cape Verde","9.9081084421395023","7.4127632230805069","9.0500978154076286","15.95013975926609","10.687633786622239","10.044067815758204","10.814536650601388","11.740347908170888","15.631811230179684","10.453885305687656","9.9995552759615727","12.567357046413299","13.796551566134214","14.923954989690809","14.528343346946247","16.330261193260466","21.879627286172671","16.908557161463243","16.400540805230005","19.205216167153498","18.94315884240828","18.87243611778333","19.089334925781561","16.742356548043148","18.850946145403636","17.120405584093387"
"12","Central African Rep.","7.4893034900580782","6.0179548518069854","3.2713662117777038","3.8816225989369717","3.5497246702448892",". .",". .",". .",". .",". .","2.7336293778975134","3.7720215937947339","3.7246500199555816","3.729779634408394",". .","4.4699283745011291","7.251711077719885","8.1722308682815985","11.596040148803237",". .",". .",". .",". .",". .",". .","5.9059437008884199"
